timestamp,bin_id,fill_pct,status,confidence
2026-08-06T01:57:18,1,45.1,MEDIUM,1.0
2026-08-06T01:57:28,1,45.1,MEDIUM,1.0
2026-08-06T01:57:30,1,45.1,MEDIUM,1.0
2026-08-06T01:57:31,1,45.1,MEDIUM,1.0
2026-08-06T01:57:33,1,45.1,MEDIUM,1.0
2026-08-06T01:57:34,1,45.1,MEDIUM,1.0
2026-08-06T01:57:35,1,45.1,MEDIUM,1.0
2026-08-06T01:57:47,2,41.3,MEDIUM,1.0
2026-08-06T01:58:07,2,41.3,MEDIUM,1.0
2026-08-06T01:58:10,2,41.3,MEDIUM,1.0
2026-08-06T01:58:11,2,41.3,MEDIUM,1.0
2026-08-06T01:58:12,2,41.3,MEDIUM,1.0
2026-08-06T01:58:13,3,37.1,LOW,1.0
2026-08-06T01:58:28,3,37.1,LOW,1.0
2026-08-06T01:58:33,4,45.1,MEDIUM,1.0
