timestamp,bin_id,fill_pct,status,confidence
2026-08-12T19:40:29,1,28.2,LOW,0.79
2026-08-12T19:40:30,2,60.8,FULL,0.78
2026-08-12T19:40:30,3,55.1,MEDIUM,0.57
2026-08-12T19:40:39,1,28.2,LOW,0.79
2026-08-12T19:40:39,2,60.8,FULL,0.78
2026-08-12T19:40:39,3,55.1,MEDIUM,0.57
2026-08-12T19:40:40,1,28.2,LOW,0.79
2026-08-12T19:40:40,2,60.8,FULL,0.78
2026-08-12T19:40:40,3,55.1,MEDIUM,0.57
2026-08-12T19:40:43,1,28.2,LOW,0.79
2026-08-12T19:40:43,2,60.8,FULL,0.78
2026-08-12T19:40:43,3,55.1,MEDIUM,0.57
2026-08-12T19:40:44,1,28.2,LOW,0.79
2026-08-12T19:40:44,2,60.8,FULL,0.78
2026-08-12T19:40:44,3,55.1,MEDIUM,0.57
2026-08-12T19:40:48,1,28.2,LOW,0.79
2026-08-12T19:40:48,2,60.8,FULL,0.78
2026-08-12T19:40:48,3,55.1,MEDIUM,0.57
2026-08-12T19:40:49,1,28.2,LOW,0.79
2026-08-12T19:40:49,2,60.8,FULL,0.78
2026-08-12T19:40:49,3,55.1,MEDIUM,0.57
2026-08-12T19:41:15,1,22.6,LOW,1.0
2026-08-12T19:41:16,4,45.9,MEDIUM,0.91
2026-08-12T19:41:22,1,17.1,EMPTY,1.0
2026-08-12T19:41:23,4,45.9,MEDIUM,0.91
2026-08-12T19:41:25,1,11.5,EMPTY,1.0
2026-08-12T19:41:27,4,45.9,MEDIUM,0.91
2026-08-12T19:41:34,1,6.0,EMPTY,1.0
2026-08-12T19:41:35,4,45.9,MEDIUM,0.91
2026-08-12T19:41:37,1,0.4,EMPTY,1.0
2026-08-12T19:41:38,4,45.9,MEDIUM,0.91
2026-08-12T19:46:24,5,0.0,EMPTY,1.0
2026-08-12T19:46:24,6,37.4,LOW,1.0
2026-08-12T19:46:25,7,0.0,EMPTY,1.0
2026-08-12T19:46:25,5,0.0,EMPTY,1.0
2026-08-12T19:46:25,6,37.4,LOW,1.0
2026-08-12T19:46:25,7,0.0,EMPTY,1.0
2026-08-12T19:46:25,5,10.4,EMPTY,1.0
2026-08-12T19:46:25,8,35.7,LOW,1.0
2026-08-12T19:46:26,5,16.7,EMPTY,1.0
2026-08-12T19:46:26,8,21.9,LOW,1.0
2026-08-12T19:46:26,5,19.8,EMPTY,1.0
2026-08-12T19:46:26,8,25.5,LOW,1.0
2026-08-12T19:46:26,5,26.6,LOW,1.0
2026-08-12T19:46:26,8,28.0,LOW,1.0
2026-08-12T19:46:26,5,33.7,LOW,1.0
2026-08-12T19:46:27,8,29.8,LOW,1.0
2026-08-12T19:46:27,5,35.2,LOW,1.0
2026-08-12T19:46:27,8,29.7,LOW,1.0
2026-08-12T19:46:27,5,34.4,LOW,1.0
2026-08-12T19:46:27,5,32.8,LOW,1.0
2026-08-12T19:46:27,5,29.9,LOW,1.0
2026-08-12T19:46:28,5,26.8,LOW,1.0
2026-08-12T19:46:28,9,9.4,EMPTY,1.0
2026-08-12T19:46:28,5,23.0,LOW,1.0
2026-08-12T19:46:28,9,7.1,EMPTY,1.0
2026-08-12T19:46:28,5,20.2,FULL,1.0
2026-08-12T19:46:28,9,16.7,EMPTY,1.0
2026-08-12T19:46:28,5,22.4,LOW,1.0
2026-08-12T19:46:28,9,21.5,LOW,1.0
2026-08-12T19:46:28,5,21.6,LOW,1.0
2026-08-12T19:46:29,9,23.9,LOW,1.0
2026-08-12T19:46:29,5,21.0,FULL,1.0
2026-08-12T19:46:29,9,28.4,LOW,1.0
2026-08-12T19:46:29,5,20.2,FULL,1.0
2026-08-12T19:46:29,9,28.2,LOW,1.0
2026-08-12T19:46:29,5,17.9,EMPTY,1.0
2026-08-12T19:46:29,9,24.2,LOW,1.0
2026-08-12T19:46:29,5,11.7,EMPTY,1.0
2026-08-12T19:46:29,9,21.5,LOW,1.0
2026-08-12T19:46:30,5,9.7,EMPTY,1.0
2026-08-12T19:46:30,9,18.5,EMPTY,1.0
2026-08-12T19:46:30,5,7.1,EMPTY,1.0
2026-08-12T19:46:30,5,4.7,EMPTY,1.0
2026-08-12T19:46:30,5,4.5,EMPTY,1.0
2026-08-12T19:46:30,10,38.0,LOW,1.0
2026-08-12T19:46:30,5,4.4,EMPTY,1.0
2026-08-12T19:46:30,10,39.4,LOW,1.0
2026-08-12T19:46:31,5,7.2,EMPTY,1.0
2026-08-12T19:46:31,11,10.2,EMPTY,1.0
